manufacturer,sku,colour_name,hex,lab_l,lab_a,lab_b,matched_standard
Brampton Brick,BB-KINGS-CONTEM-ROYAL-GR-129,Royal Gray,#858077,53.768,0.208,5.5568,Grey
Brampton Brick,BB-KINGS-CONTEM-SAHARA-130,Sahara,#BF9076,63.6154,14.2872,20.7232,Buff
Brampton Brick,BB-KINGS-CONTEM-SHADOW-131,Shadow,#8E8988,57.4821,1.672,1.1983,Grey
Brampton Brick,BB-KINGS-CONTEM-SHADOW-P-132,Shadow PRP,#817C79,52.3566,1.3222,2.3108,Grey
Brampton Brick,BB-KINGS-VIVACE-SIENA-133,Siena,#928879,57.1725,1.1118,9.4103,Grey
Brampton Brick,BB-KINGS-CONTEM-SIENA-MA-134,Siena Matt,#918274,55.3248,3.294,9.658,Grey
Brampton Brick,BB-KINGS-CONTEM-SOLSTICE-135,Solstice Matt,#AE8562,58.6542,11.0979,24.9204,Orange
Brampton Brick,BB-KINGS-CONTEM-SOLSTICE-136,Solstice Smooth,#BB9267,63.427,9.8471,28.6738,Buff
Brampton Brick,BB-KINGS-LEGACY-STERLING-138,Sterling Gray,#C3B5A1,74.3322,1.6675,11.9958,Cream
Brampton Brick,BB-KINGS-CONTEM-TAHOE-139,Tahoe,#736455,43.3821,3.4116,10.7198,Brown
Brampton Brick,BB-KINGS-VIVACE-TWEED-141,Tweed,#998D86,59.4739,3.2244,5.3454,Grey
Brampton Brick,BB-KINGS-CONTEM-VENETIAN-143,Venetian,#664339,32.1112,13.7848,12.2324,Burgundy
Brampton Brick,BB-KINGS-LEGACY-VERIDIAN-144,Veridian,#99806A,55.3302,6.1742,15.5348,Grey
Brampton Brick,BB-KINGS-CONTEM-VICTORIA-145,Victoriaville,#7C5248,39.2203,16.2463,13.0315,Red
Brampton Brick,BB-KINGS-LEGACY-WESTMONT-146,Westmont,#927F6F,54.4881,4.6162,11.3805,Grey
Brampton Brick,BB-KINGS-CONTEM-WESTVILL-147,Westville,#8A5C53,43.7735,17.6826,12.8646,Red
Brampton Brick,BB-KINGS-CONTEM-WINDSOR-148,Windsor,#9A5546,43.9581,26.9838,21.2958,Red
Acme Brick,SKU-FROST-4438,Pink,#000000,0,0,0,Pink
Acme Brick,SKU-OLD-D-8865,Pink,#000000,0,0,0,Pink
Glen Gery,SKU-4-HB-3236,Pink,#000000,0,0,0,Pink
Glen Gery,SKU-ASHCR-2171,Pink,#000000,0,0,0,Pink
Glen Gery,SKU-CAMDE-1634,Pink,#000000,0,0,0,Pink
Glen Gery,SKU-DANIS-8519,Pink,#000000,0,0,0,Pink
Glen Gery,SKU-DANIS-5794,Pink,#000000,0,0,0,Pink
Glen Gery,SKU-FRENC-7704,Pink,#000000,0,0,0,Pink
Arriscraft International,ARRIS-BURNT-UM-ALSB-GRH,Burnt Umber,#8B4513,37.4669,26.4478,40.989,Brown
Arriscraft International,ARRIS-CEDAR-WO-ALSB-GRH,Cedar Woods,#7B5234,38.7139,13.6356,24.4209,Brown
Arriscraft International,ARRIS-CHARCOAL-ALSB-W,Charcoal,#4A4A4A,31.4579,0.0032,0.0014,Grey
Arriscraft International,ARRIS-CHARCOAL-ALSB-CS,Charcoal,#4A4A4A,31.4579,0.0032,0.0014,Grey
Arriscraft International,ARRIS-CHATEAU--ALSB-GRH,Chateau Brown,#6B4C3B,35.2232,10.7408,15.2861,Buff
Arriscraft International,ARRIS-EVENING--ALSB-GRH,Evening Shade,#5A4A5A,33.5827,9.9718,-6.8905,Grey
Arriscraft International,ARRIS-EVENING--ALSB-GS,Evening Shade,#5A4A5A,33.5827,9.9718,-6.8905,Grey
Arriscraft International,ARRIS-FORGED-S-ALSB-GRH,Forged Steel,#506070,39.9836,-2.0376,-11.0578,Grey
Arriscraft International,ARRIS-FORGED-S-ALSB-GS,Forged Steel,#506070,39.9836,-2.0376,-11.0578,Grey
Arriscraft International,ARRIS-GEORGETO-ALSB-W,Georgetown Blend,#8C7B6A,52.71,3.6891,11.7019,Brown
Arriscraft International,ARRIS-GEORGETO-ALSB-CS,Georgetown Blend,#8C7B6A,52.71,3.6891,11.7019,Brown
Arriscraft International,ARRIS-HARBOR-G-ALSB-GRH,Harbor Grey,#708090,52.8363,-2.1371,-10.5684,Grey
Arriscraft International,ARRIS-MAHOGANY-ALSB-W,Mahogany,#6B3A2A,30.2036,19.9189,19.3341,Cream
Arriscraft International,ARRIS-MAHOGANY-ALSB-CS,Mahogany,#6B3A2A,30.2036,19.9189,19.3341,Cream
