manufacturer,sku,colour_name,hex,lab_l,lab_a,lab_b,matched_standard
Canada Brick,CB-WILLIAMSBURG,Red,#935F49,45.4536,18.6255,21.2955,Red
Canada Brick,CB-WILLIAMSBURG-MK-II,Red,#956049,45.9562,18.9054,22.0014,Red
Canada Brick,CB-WHITE-ASH-2,White,#DAD4CB,85.1513,0.5003,5.1792,White
Canada Brick,CB-SUSSEX,White,#B1A695,68.5985,1.0677,10.2349,Buff
Canada Brick,CB-SEA-SHELL-AVANTI,White,#CDC7BF,80.5089,0.6823,4.741,White
Canada Brick,CB-IVORY-WHITE-CONTEMPORARY-BRICK,White,#BEAC91,71.2119,2.1821,16.2703,Buff
Canada Brick,CB-HAZELTON,White,#BBB4A3,73.4492,-0.4557,9.561,Cream
Canada Brick,CB-OPAL-ARCHITECTURAL-LINEAR-SERIES-BRICK,White,#C8C1BC,78.491,1.5643,3.3845,White
Canada Brick,CB-KELOWNA,White,#CFCCC6,82.1245,-0.0282,3.3521,White
Canada Brick,CB-WINTERBOURNE,White,#C6C1B8,78.2317,0.1591,5.147,White
Canada Brick,CB-ALPINE-WHITE-TUMBLED-VINTAGE-BRICK,White,#C5BFB7,77.609,0.6902,4.778,White
Canada Brick,CB-WHITE-ASH,White,#DAD3CB,84.8972,1.0214,4.8121,White
